id,firstName,lastName,team,weight,height,jersey,year,position,homeCity,homeState,homeCountry,homeLatitude,homeLongitude,homeCountyFIPS,recruitIds
5209177,Todd,Robinson,Georgia,205,71,22,1,S,Valdosta,GA,USA,30.8327022,-83.2784851,13185,['106398']
5210161,AJ,Kruah,Georgia,225,73,13,1,LB,Philadelphia,PA,USA,39.9527237,-75.1635262,42101,[]
5212631,Chase,Linton,Georgia,225,75,85,1,LB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,['106309']
5212701,Daniel,Okonkwo,Georgia,205,72,26,1,S,Powder Springs,GA,USA,33.8595492,-84.683824,13067,[]
5215017,Landon,Roldan,Georgia,185,72,84,1,WR,Bogart,GA,USA,33.949281,-83.534608,13219,['106496']
5217771,Dennis,Uzochukwu,Georgia,300,77,65,1,OL,Lawrenceville,GA,USA,33.9562149,-83.9879625,13135,['106485']
5218580,Maurice,Hayes,Georgia,180,73,16,1,CB,Perry,GA,USA,32.4586695,-83.7319658,13153,[]
5218581,Colter,Ginn,Georgia,203,75,17,1,QB,Perry,GA,USA,32.4586695,-83.7319658,13153,[]
5218582,Jaden,Reddell,Georgia,240,76,23,1,TE,Raymore,MO,USA,38.810131,-94.4676501,29037,['108767']
5218583,Wade,Penn,Georgia,200,70,31,1,RB,Atlanta,GA,USA,33.7490987,-84.3901849,13121,[]
5218586,Henry,Waller,Georgia,170,71,37,3,DB,Evans,GA,USA,33.5143065,-82.1387819734912,13073,[]
5218587,Brandon,Mathis,Georgia,215,72,38,3,RB,Fayetteville,GA,USA,33.4487257,-84.4549262,13113,[]
5218588,Danny,Curran,Georgia,190,73,46,3,WR,Marietta,GA,USA,33.9528472,-84.5496148,13067,[]
5218590,Jahzare,Jackson,Georgia,348,82,64,2,OL,San Diego,CA,USA,32.7174209,-117.1627714,06073,[]
5218591,Tate,Nelms,Georgia,283,75,78,1,OL,Woodstock,GA,USA,34.1014112,-84.5192192,13057,[]
5218592,Henry,Delp,Georgia,205,74,89,1,TE,Cumming,GA,USA,34.2073196,-84.1401926,13117,[]
5229348,Hezekiah,Millender,Georgia,205,75,19,1,QB,Goodyear,AZ,USA,33.4353672,-112.3576005,04013,[]
5258446,London,Seymour,Georgia,305,76,55,1,DT,Suwanee,GA,USA,34.0514898,-84.0712997,13135,[]
5293621,Jaylan,Morgan,Georgia,195,72,17,1,DB,Murfreesboro,TN,USA,35.845999,-86.3920452,47149,['106464']
5293623,Eli,Barrow,Georgia,212,70,53,2,LB,Cedartown,GA,USA,34.0124425,-85.2559398,13233,[]
5293624,Carter,Horton,Georgia,210,78,93,2,P,Perry,GA,USA,32.4586695,-83.7319658,13153,[]
5297763,Tyler,Williams,Georgia,205,74,13,1,WR,Tampa,FL,USA,27.9477595,-82.458444,12057,[]
5306295,Duncan,Carpenter,Georgia,225,75,48,1,LB,Dalton,GA,USA,34.7691867,-84.9702475,13313,[]
5306297,Connor,Ferguson,Georgia,155,69,98,1,PK,Savannah,GA,USA,32.0809263,-81.0911768,13051,[]
5306312,Clayton,Hood,Georgia,210,74,47,1,LB,Swainsboro,GA,USA,32.5973857,-82.3337376,13107,[]
5306313,Cole,Jones,Georgia,210,73,38,1,LB,Albany,GA,USA,31.5782062,-84.1556809,13095,[]
5306314,Benjamin,McElreath,Georgia,175,71,37,1,WR,Macon,GA,USA,32.8406946,-83.6324022,13021,[]
5306316,Jackson,St. Clair,Georgia,165,69,36,1,WR,Perry,GA,USA,32.4586695,-83.7319658,13153,[]
